,,,,,,,,,,,,
Document linking code,"Date
","Case Name or Number
[Docket Number]","Expert Presence
[Tag]","Who was the expert instructed by?
[Tag]",Court,Jurisdiction,"Online link to the judgment
[Url]","Keywords
[Tag]","Area of law
[Tag]",Summary,Language,Comments
MT120,2002.10.01,134/2000/1,,,Qorti Civili Prim Áwla (Gurisdizzjoni Kostituzzjonali),Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=12255,Annulment; Muslim; vitiated consent; impotency; cultural differences; marriage; defect in consent; matrimonial life,family law,"The plaintiff requested the court to grant annulment from his marriage with the defendant on the basis that the consent was vitiated. The defendant agreed to the request of annulment, however claiming deception on the part of the plaintiff. The couple’s version of events differed on when the parties had first met and decided to marry. The plaintiff claimed that the parties had known each other for two years, with the defendant who had fallen out with her father especially because of her relationship with the plaintiff. She had therefore left her family’s home and went to live with the plaintiff who however insisted on getting married because his Muslim religion did not permit him to live with an unmarried woman. The plaintiff claimed that she immediately agreed to it but abandoned him when she discovered he was impotent. On the other hand, the defendant claimed that she married the plaintiff four weeks after first meeting him. She said that it was the plaintiff who abandoned her after five weeks of marriage and when she contacted him, he told her that the marriage had ended and advised her not to talk to him again. This version of events was confirmed by the defendant’s mother who told the court that she had only found out about the marriage when it had already occurred since her daughter had left their home and only returned one year later. The court said that it was immediately evident that both parties had a serious defect of discretion about matrimonial life because their thoughts were never directed towards family life but instead both had their selfish goals. The defendant needed a place to stay after leaving her parents’ house and the plaintiff wanted to be able to live with her and not go against his religion. The court noted that curiously enough the parties had not married by Muslim rites as a reason to doubt the plaintiff’s claims. Moreover, he followed his religious obligations of informing his future wife about his impotency, something he admitted to have been well aware of. The court concluded the plaintiff’s consent was vitiated because he knowingly withheld this fact from the defendant without the least consideration of what her feelings were in this regard. The defendant had every right to know about this because child procreation was one of the essential elements of marriage, both catholic and civil. With the religious excuse debunked, the defendant’s version resulted more realistic in that the plaintiff had not proposed to marry after two years but after little more than a month. The court further argued that on the other hand, the defendant never had the intention of seriously living with the plaintiff and only took the opportunity to escape her problems at home, thus entering marriage with little or no thought about the future, thinking that she was going to solve her problems by marrying a person she barely knew. Court said that the defendant was clearly immature, particularly due to her very young age, and at the time she was incapable of forming or giving the consent necessary for marriage because it was impossible for her to understand the significance of marriage and the rights and obligations derived from it. The court therefore acceded to the plaintiff’s request and granted the annulment of the marriage, with court expenses to be divided between the parties as both of them had been responsible for its failure.",Maltese,
MT121,2005.06.13,624/2004,,,Qorti tal-Magistrati (Malta) bhala Qorti ta' Gudikatura Kriminali,Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=31683,fight; Arab men; Arab culture; clothing; grevious bodily harm,criminal law,"The police brought charges against the defendant accusing him of grievously injuring a person, causing him permanent injuries, being in possession of a sharp and pointed weapon, and of disturbing the public peace and order. The police said that in the early hours of the morning they had been called to Paceville, a nightlife hub, because a fight had broken out and a person had been injured. They found a man of Libyan origin being medicated by a passerby who happened to be a qualified nurse. The victim was taken to hospital and subsequently interviewed by the police who told them that there had been an argument between two groups of Arabs. He recounted that he had tried to calm down a man wearing a red cap who was particularly agitated and who at one moment threw a beer bottle in the direction of his adversaries. The victim told the police that he had intervened because he did not like the fact that Arab men had the reputation of being violent and argumentative, and when he did not succeed in calming the beer-bottle throwing man, he called on the accused to restrain his friend. The victim said that there was a little scuffle, at which point the defendant put his hand across the victim’s neck. The victim claimed he did not see any weapon in the accused’s hands but said that he was the only one who had touched him, and a short while later he found himself stumbling and falling to the floor with blood pouring out of his neck. The victim indicated his attacker as being the boyfriend of the woman who had seen to his injuries, leading the police to the accused. Numerous people took the witness stand, including the accused’s girlfriend. The woman in particular said that she did not know why the fight broke out between her boyfriend’s group of friends who were from Tripoli and the other group who were from Benghazi, but she said that she had heard personal insults being thrown around, something she had been able to understand because she had been married for ten years to an Arab man. She said she saw a man wearing a white cap turning his head around which, from what she knew about Arabic culture, meant that he wished the argument to continue. Nobody claimed to have seen the accused hitting or attacking the victim, nor did anyone claim to have seen him in possession of any weapon. The accused himself said that he did not carry any knives around and a search at his household and at the location of the fight did not produce the weapon used. The police argued that when interrogated, the accused suffered from “total amnesia”, as he could not recall any single detail. The accused rejected all accusations, saying that even though he did not remember anything he was certain that he had not caused any injuries to the victim because he was not a violent person and never carried any weapons. The defense told the court that the police should have investigated a man seen running away from the scene and which nobody had been able to identify with certainty. Had the accused grievously injured the victim he would have not remained at the location with his own nurse girlfriend attending to the injuries. The doctor who saw to the victim told the court that the victim had two lesions on either side of his neck and these were classifiable as incised wounds caused by a sharp object. The injuries had been wider than deep and it was this that saved his life, because had they been any deeper they would have punctured the artery, resulting fatal. The court said that the issue revolved around the credibility of the witnesses and it lamented that it had received the case when all parties had already given witness and therefore it had not been in a position to control and confirm the credibility and veracity of their claims. This created a scenario in which the court was not in a favorable position to examine all evidence produced. It continued that the prosecution had failed to determine exactly when and in which direction the beer bottle had been thrown as no one had seen the accused bearing a weapon of any sort. Even the same victim who indicated the defendant as being the perpetrator, admitted that he had not seen any weapon in his hands. The court concluded that it did not have the necessary certainty that the defendant had caused the victim’s injuries and therefore should not be held responsible for the incident. Consequently, the defendant was freed from all charges.",Maltese,
MT122,2017.04.07,171/2017,,,l-Qrati tal-Maġistrati (Rimandanti),Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=105899,extradition; Chilean law; Maltese la; evidence; testimony; oath; witness; criminal proceedings; fraud,criminal law,"The police asked the Court of Committal to grant the extradition of the defendant to his home country, Chile, following the Authority to Proceed issued by the Minister for Justice of Malta, upon request of the Government of the Republic of Chile. The court noted that unlike the procedure applicable to European Arrest Warrants in force within the European Union area, this extradition procedure was regulated by traditional extradition laws in which the powers of the courts were relatively limited and where the Minister for Justice retained wide powers and discretion. The court noted the complexity of the case in hand due to the different legal backgrounds and traditions in Malta and Chile. The two countries did not have an Extradition Treaty and therefore resorted to the United Nations Convention against Transnational Organised Crime of the 15th November 2000, which both countries were signatories. It was the court’s responsibility to determine to what extent this extradition request could be granted, based on this Convention in terms of Maltese Law. The Extradition Act of the Laws of Malta required the confirmation of the identity of the requested person and in this case the defendant had not contested this fact. Nor did the court find any issue with the Authority to Proceed issued by the Ministry. The court was also required to determine whether the offenses according to the Convention are punishable with a term of imprisonment of twelve months of greater and that the offenses also constitute an offense according to Maltese laws. The Convention also required both countries to be satisfied that the extradition procedures were carried out in accordance and in compliance with their respective laws and procedures, while the court also need to be satisfied that the offenses mentioned in the extradition request were crimes punishable under Chilean Law. In this regard, Chile was accusing the defendant of fraud and money laundering among other crimes. The court noted that the convention required that the crimes be of a serious nature, involving transnationality and organized criminal groups and that the dual criminality rule be satisfied. While the court accepted that the crimes the defendant was accused of were of a serious nature, the court added it must study whether it was an organized criminal activity. In this regard, the court needed to review the evidence produced by the plaintiff in order to determine whether the defendant had indeed committed the alleged crimes mentioned in the request for extradition, through a structured group of three or more persons. This needed to have existed for a period of time with the aim of committing one or more Convention crimes or other serious offences in order to obtain direct or indirect financial or other material benefit. For this to occur, any evidence submitted must be in line with the Maltese legal requirements governing admissibility of evidence. The court took issue with the plaintiff’s claim that all evidence produced should be accepted by the court because it was all in line with the Extradition Act which had been amended to lower the bar of what evidence was to be deemed admissible. If this were the case, the court continued, it would mean that the Maltese Courts would become a simple depository of foreign documents with very limited power of scrutiny and would be forced to take any document as evidence and proof of their contents simply because purported to be signed, certified or authenticated according to the Act. It was therefore the court’s duty to analyse to what extent a document could be deemed to be admissible or containing valid evidence in terms of Maltese Law. The court continued that according to Maltese law, this required statements to be confirmed on oath and contrary to the plaintiff’s stand, not all evidence produced could be considered a valid testimony since a testimony required a valid oath. A Maltese court could not accept as a valid testimony a declaration of a person that did not in essence satisfy the requirement of an oath in terms of Maltese Law. Even a document purporting to set out evidence on oath in Chile still needed to satisfy basic Maltese Law of evidence, meaning that the declarant must also make a declaration affirming that what was stated is the truth. The court said that Maltese law required a positive and explicit declaration that the declarant’s statement amounted to the truth and a court could not assume that a person was saying the truth. The fact that declarants stated that that they had read and understood their rights or that the declaration had been voluntarily made, or that the declarant read and ratified all the parts and voluntarily signed the declaration is not enough to satisfy this Maltese requirement. Moreover, confirming or approving what is stated did not necessarily mean that what was stated was being positively confirmed as corresponding to the truth. In this case the court noted that the witness statements provided by the Chilean prosecution were not made under oath and this was the exact opposite of what Maltese Law required from a witness in criminal proceedings. This meant that the court could not accept the statements provided by the plaintiff as valid testimony in terms of Maltese Law. Another problem which the court felt directly affected the admissibility of the testimonies provided was that most of them involved the statements of co-principals and accomplices intended to be used against the defendant. However Maltese law stipulates that when a person is accused of a crime with accomplices, the latter could not be produced to testify in favour or against that same accused unless and until the cases against the accomplices were res judicata. The court concluded that while there was prima facie proof that the defendant carried out various business ventures that raised suspicion, on the admissible evidence, the court, could not state that there was enough evidence to prove on a prima facie level that the defendant had carried out the acts the plaintiff was accusing him of. The court therefore dismissed the plaintiff’s request for extradition and ordered the defendant’s release from custody.",English,
MT123,2015.01.09,365/2014/1,,,Qorti Kostituzzjonali,Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=91933,hunting; Maltese culture; tradition; cultural life; conservation; preservation,constitutional law,"The plaintiffs were a Hunters club requesting the constitutional court to declare prohibited the referendum proposed by the Coalition to Abolish Spring Hunting. The issue stemmed from Directive 2009/147/KE of the European Parliament and Council of Europe on the Conservation of Wild Birds, intended for the conservation of all species of naturally occurring wild birds in the European Member States and covered the protection, management and control of these species while laying down rules for their exploitation. The Directive allowed the countries to derogate from the prohibitions for a number of reasons such as public health and safety or for reasons linked to education and research. It also permitted the Members States to institute measures which were even more restrictive than the ones devised by the Directive. Malta had made use of this derogation in order to allow spring hunting following its 2004 membership in the European Union. The European Commission had opened proceedings against Malta because the derogation targeted the common quail (Coturnix coturnix) and European turtle dove (Streptopelia turtur) during their migration period, meaning that in doing so Malta went against its obligations as defined by the Directive which bound the States to ensure that migratory species were not subject to hunting during their return to breeding grounds. The European Court found that the conditions for derogation were not satisfied when the period of hunting permitted unnecessarily coincided with the period during which the Directive was intended to establish particular protections. It had rejected Malta’s protestations saying that a derogation could only be implemented if it guaranteed that the specie populations were going to be kept at a satisfactory level and, in absence of such guarantees, bird hunting could not be considered reasonable and this rendered the derogation inadmissible. Spring hunting differed from autumn hunting in that it resulted in three times more deaths in the common quail and eight-fold in turtle dove deaths. In response, the Maltese government had amended the derogation in order allow spring hunting while still adhering to the European Court judgement. This led the Coalition to Abolish Spring Hunting to carry out an exercise of signature collection in order to trigger Article 14(1) of Chapter 237 of the Laws of Malta which allowed for national referenda to be called out after the obtainment of a minimum number of endorsing signatures. A few months later the Electoral Commission had declared that there were enough signatories for the request to be accepted. This led the plaintiffs to resort to the constitutional court, listing a number of reasons why the referendum to ban spring hunting should not be allowed. The plaintiff put into doubt the verification process carried out by the Commission, in particular how they had validated the authenticity of the signatures. The court rebutted that the Commission had explained how it carried out its verification and listed which signatures were valid and which were not. The court said that in absence of clear evidence on why the court should not accept the Commission’s decision, the court must reject the plaintiffs’ claim and refuse its request for the data gathered to have the signatures examined by a calligraphy expert. The court noted that 33,418 signatures were needed for the referendum, meaning that even if 19% of the 41,494 collected were removed, there would still be sufficient for the referendum to occur. The court also brushed away the plaintiffs’ claim that the referendum would be delegitimising a derogation permitted by the Directive. It noted that adherence to the Directive was compulsory, but the derogation was not. A Member State could therefore decide to derogate to harshen further the prohibitions imposed. The Directive’s emphasis lay on the need for protective measures, more than on the recreational need, meaning that if these interests were in conflict a popular referendum with free choice as per law was a good method for solving the issue. The plaintiff also quoted the International Covenant on Economic, Social and Cultural Rights, a treaty adopted by the United Nations General Assembly in 1966, and which recognized everyone’s right to, among other things, take part in cultural life whilst also binding States with working towards the conservation, development and diffusion of science and culture. The plaintiffs argued that a referendum which gave the possibility to ban spring hunting altogether violated this treaty, of which Malta was signatory, and put in danger a person’s right to hunt which in itself is an integral part of Maltese culture and tradition. The court noted that cultural life as understood by the Covenant included all human activity and therefore, if the law prohibited a particular activity this did not mean that it was prohibiting participation in cultural life. Finally, the court refuted the plaintiffs’ claim that the referendum risked prejudicing the will of the minority, saying that while it was true that the majority’s rights needed to be carried out with respect towards that of minorities, this respect was not obtained by not allowing citizens voicing their opinion through referendum. The law contemplated few scenarios in which a referendum was not to be permitted and, like every exception, they had a very limited interpretation. The court therefore rejected the plaintiff’s request and ordered them to bear all court expenses.",Maltese,
MT124,2007.04.13,6/2004/1,,,Qorti Kostituzzjonali,Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=42668,Marriage; annulment; mixed couple; Muslim marriage; conversion; Christian; matrimonial life,constitutional law,"The plaintiffs appealed a Constitutional Court judgement which had rejected their request to recognize their marriage. The couple, a Maltese woman and a Libyan man, had returned to Malta after spending twenty years in Libya where they had married through Muslim marriage rites. The woman had been previously married to a Maltese national, but after two years left Malta for Libya. Three months later the marriage had been declared null by Libyan authorities and the plaintiffs married. The plaintiffs claimed that the domicile of their marriage had been Libya and the defendant Director of Public Registry’s refusal to recognize their marriage forced the husband to periodically visit the Immigration Office in order to obtain temporary residence permits. The plaintiffs claimed that according to international law, the validity of a marriage depended on the relevant laws in the country where it was celebrated and the defendant’s refusal was in breach of the their fundamental rights. In particular of Article 8 and 14 of the European Convention on Human Rights which stipulated a person’s right for family life and free from religious-based discrimination. The defendant started off by saying that the plaintiffs had no right to undertake Constitutional Court proceedings when they had not yet exhausted all avenues at an ordinary level. He also rejected the plaintiff’s claims on the merit, saying that according to the Maltese law, the woman was still bound by her previous marriage as he had not been supplied with a judgement on the matter by a relevant court, nor did the plaintiff’s provide proof of their domicile in Libya. The defendant was bound to ensure that the previously contracted marriage had been annulled and that the second marriage was not polygamous in nature, as this would infringe Maltese public policy. The plaintiffs presented a translated certificate issued by which the Court of First Instance of South Tripoli had granted the plaintiff annulment of her previous marriage in accordance to Islamic Law because she had converted to Islam and married a Muslim man, thus rendering null her previous marriage to a Maltese man of Christian faith. The defendant noted how this certificate had been issued almost twenty years after marrying in Libya and that Maltese law did not recognize automatic marriage annulments based on a change in religion, with the plaintiff having failed to prove that her previous marriage had been legally annulled. In addition, the plaintiffs’ right to family life had not been impinged as they were free to exercise that right in another country as they had indeed done for the previous twenty years. The first Court accepted the defendant’s objection that the plaintiffs should have sought recourse in the ordinary courts before instituting constitutional proceedings. However, it also delved into the merits of the case and deemed the defendant’s actions not to be in breach of the plaintiffs’ Fundamental Rights. The plaintiffs appealed the judgement saying that the court had been incorrect when it said that other recourse was available, but after deciding so, it should have stopped short of entering into the merits of the case. The Court of Appeal said that a decision by a foreign court about the status of a married Maltese citizen must be recognized by Maltese law, however the plaintiffs failed to provide evidence in this regard. In addition, a person needed to be eligible to marry according to the laws in the country they are domiciled and, even in this instance, the plaintiffs had failed to prove that they domiciled in Libya. It agreed with the previous court that the plaintiffs needed to exhaust all recourse in the lower courts before filing a case with the Constitutional Court, thus rejecting the appellant’s request. However, it agreed with the plaintiffs that the first Court should not have proceeded to enter into the merits of the case. The Court of Appeal thus ordered that part of the sentence be erased with costs to be borne between the appellants and the defendant.",Maltese,
MT125,2013.05.02,21/2012,,,Qorti tal-Appell,Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=80676,temples; excavation; world heritage; Maltese culture; prehistoric,environmental law,"The plaintiff appealed a decision taken by the defendant Environment and Planning Tribunal which rejected the plaintiff’s application to recommence rock cutting works at a limestone quarry in Qrendi. The application had been refused because the quarry was situated in the vicinity of a Class A World Heritage Archaeological site, namely the two megalithic temple complexes of Hagar Him and Mnajdra. The Tribunal had said that the development sat in An Area of Ecological Importance, Area of High Landscape Value, Site of Scientific Importance and Area of Archeological Importance. The proposal went against both Structure Plan Policies which did not allow for activity which would adversely affect scenic value by obstructing a particularly panoramic view and Local Plan Policies which forbade quarrying within one kilometer of a World Heritage site. In front of the Tribunal, the applicant appellant had claimed that he would have made use of modern equipment which cut stone without the emission of noise or dust, and which limestone could then be transported and processed in another site. The applicant had noted how in the past, when the same site was quarried using explosives, the vibrations produced where much lower than the maximum permissible. The appellant had reminded the Tribunal that the stone in the quarry site in question was arguably of the highest quality on the Island, making it indispensable at a moment when the concrete requirements were on the rise. He also said that he could not accept the Superintendence of Cultural Heritage’s argument that rock cutting was not permissible within one kilometer radius of the Temples, when some rock cutting was involved in the construction of a Visitor’s Site to the same Temples, and which was situated only 80 metres away. The appellant also argued that works would be carried out using a system of tunnels that would not disturb the external rock structure. The Superintendence of Cultural Heritage on the other hand said that work at the quarry had been stopped some fifteen years prior and that their opinion had not changed; in that no activity should occur at the sites and that the existing quarries should be refilled and rehabilitated in order to restore the cultural landscape of the valley. He said that they did not delve into the technicality of works carried out because they held firm in their belief that any quarrying activity, whatever the methods used, were incompatible with a world heritage site, and therefore unacceptable. He explained that it was not the first application they had rejected in the area and that, in accordance to UNESCO guidelines, they were bound to show opposition no matter the scale of the issue. The Superintendence explained that the temples were not the only archeological sites in the area, but there were also the Misqa Tanks and catacombs on the opposite side of the proposed quarry. He insisted that the site was an important part of the Maltese cultural heritage and that the Superintendence had been against any form of quarrying activity in the area since the 1960s, both due to the visual impact and the vibrations that might be produced by machinery. He explained that the Visitor’s Centre mentioned by the applicant and proposed by Heritage Malta, the country’s national agency for cultural heritage, had been amended due to the same reasons. They had used a system of trenching which was different to the activity carried out in quarries, and the machinery used was similarly incomparable to that utilized in industrial development. The tribunal had for these reasons rejected the plaintiff’s application, listing the numerous policies which forbade industrial activity in an area which deserved the highest environmental protection. In addition, the Tribunal had noted that the applicant’s application had been vague and he had not detailed the way in which modern machinery differed from the previous and how they intended to go about the quarrying activity. The Tribunal concluded by saying that if they did not intervene by rejecting the application, it would mean that some time or another the environment and cultural landscapes of world heritage sites like the one in question would all end up being destroyed. The plaintiff appealed the Tribunal’s decision in front of the courts, saying that it had not investigated the case attentively, that the adjacent Visitor Centre had involved similar works, that it had not analyzed all the documentation provided, including those which detailed the machinery that would be used, and that the Tribunal had not taken into consideration all the points raised by the applicant. The Court of Appeal said that the plaintiff’s appeal based itself considerably on interpretations, assessments and considerations which were not the court’s responsibility to decide upon. The court could only intervene if it found that the appellant’s rights had been breached. The courts had no authority to judge the credibility and competence of the Tribunal and the Superintendence of Cultural Heritage. Even if the tribunal had incorrectly interpreted some points raised, the court could only intervene if these facts were crucial in their decision making. The Tribunal, the appeal court continued, had not based its decision on the machinery or quarrying method used but primarily on the Structure and Local Plan Policies which forbade quarrying from occurring in the area of archeological heritage park in order to ensure protection to the World Heritage Prehistoric Temples. At no stage did the appellant claim that these policies were inapplicable or that other policies applied. In addition, the fact other works had occurred in the vicinity gave no right to the applicant, and the Superintendence had explained his role in limiting the development while stipulating the methodology used. The court could not intervene on the technicalities involved and the fact that the Tribunal had not given importance to the points raised by the applicant, did not mean that the court had the authority to force the Tribunal to take them into consideration. The court therefore rejected the plaintiff’s appeal and confirmed the Environment and Planning Tribunal’s decision, while ordering the plaintiff to bear court expenses.",Maltese,
MT126,2014.06.26,183/2014,,,Qorti Civili Prim Awla,Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=88721,birth certificate; amendment; translation; surname; transliteration; public registry,administrative law,"The plaintiff requested the court to order the Director of Public Registry to correct two errors in her birth certificate; namely her father’s surname and consequently hers. The plaintiff was born in Misrata, Libya and her father was a Maltese national. However, when she sought to register her birth certificate in Malta, her father’s surname was erroneously written as “Camelleri” instead of “Camilleri” and the same error was repeated in the section which dealt with the child’s details. The plaintiff produced a translation from Arabic of both her original birth certificate and that of her father, both of which indicated that the family’s surname is indeed “Camilleri” – a relatively common surname on the Maltese Islands. The plaintiff requested the court to carry out the changes necessary while holding the defendant accountable for the error by making him bear all the related court expenses. The defendant noted that he was bound by law to copy into the registry word-for-word the details as indicated on the original birth certificates. The defendant handed to the court the translations presented by the plaintiff when she had originally sought to register her birth in Malta and her family’s surname had been written as “Camelleri”. He was bound to input the data as it was and therefore no error had been committed on his end, meaning that he was not to bear any financial burden. The court took note of the fresh set of translations from Arabic which clearly indicated the correct version of the plaintiff’s surname but agreed with the defendant in that it was not a mistake attributable to him. The court therefore acceded to the plaintiff’s requests and ordered her to bear all court expenses.",Maltese,
MT127,2017.02.24,322/2010/JPG,,,Qorti Civili Prim Awla,Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=105114,Petroleum; contract; obligations; Russian law; forfeiture; bankruptcy,contracts and obligations law,"The plaintiff, an Austrian bank, requested the court to declare that actions taken by the defendant petroleum company registered in Malta were unlawful and order damages in their favour. The bank explained that they had provided a Swiss company with a loan totaling 70M USD in order to finance the acquisition of petroleum products and its relative sale. The agreement stipulated that part of the diesel oil acquired would be pledged in the plaintiff’s favour and stored at a third party’s site, only to be released upon their written consent. The defendant, famed as one of the best companies involved in transport and transshipment in the Caspian region, was the company charged with storage of 1,454,645 metric tons of the product, which was valued at almost 1.5 million USD. The defendant issued a “storage warrant” with which they obliged themselves to store the petroleum product, to which they had no claim, and release it only upon request of the bank. As it happened, the Swiss company registered economic difficulties and filed for bankruptcy, with the plaintiff’s unable to recoup the money lent. The defendant on the other hand, released the pledged petroleum product without authorization from the plaintiff, with the bank losing control of its security interest and not being able to determine its location. The plaintiff said that they were eligible for damages because the defendant company had violated its contractual obligations of storing the product unless instructed otherwise. The defendant rebutted that diesel oil had not been in their physical possession as they were not licensed to store such products in Makhachkala and which was instead located at a third party facility, rendering them not liable for any losses incurred. It also claimed that the plaintiff had not responded to correspondence in which they had warned the plaintiff that by Russian law they could not store the merchandise for much longer and would soon need to release it. Having received no guidance on their part, the defendant interpreted it as a case of forfeiture and was left with no other option but to release the stored product. Had they not done so it would have resulted in the confiscation of the merchandise and had they had any other option they would have gladly stored it because the Swiss company had debt of its own towards them and they would have recovered part of it through the sale of the petroleum product. The Russian Embassy in Malta confirmed the defendant claims regarding the existence and applicability of said law, saying that diesel oil could only be temporarily stored for two months and this could be extended to a maximum of four. The court found that the defendant’s claim of not being in physical possession of the product was in conflict to the “storage warrant” they had signed and in which they bound themselves not to release the product unless instructed to do so by the plaintiff. The court also found it hard to believe that the defendant had notified the plaintiff beforehand, saying that the letters they presented to substantiate their claims differed to their other correspondence, in the sense that they lacked the customary format and company stamp. In addition, it made no sense for the plaintiff to ignore such correspondence considering their vested interests in the matter and their previous timely replies. Also, considering the importance that the defendant company had in the sector, the court found it hard to believe that they had not been aware of Russian law on the matter, and even if that was the case, it was their responsibility to remain abreast of all legislation on the matter while informing the plaintiff of all legal requirements. The court therefore acceded to the plaintiff’s request and declared the defendant responsible for the loss of the pledged product because it had failed to adhere to its contractual obligations. The court ordered the defendant to pay the bank damages to the sum of 911,499.33 euros, based on the conversion rate on the day the product was released. Court expenses to be borne by the defendant.",Maltese,
MT128,2014.01.30,1024/2013,,,Qorti Civili Prim Awla,Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=85846,birth certificate; amendment; female; surname; Russian tradition; gender; public registry,administrative law,"The plaintiffs appeared in court as curators of the husband’s minor daughter, claiming that her surname had been written incorrectly in Malta’s Public Registry. The plaintiffs explained that the minor’s father was a Russian national and that in Russian tradition it was customary for the surname to indicate the gender of the child. Therefore, the father’s surname would be added an ""-a” when attributed to a female. The plaintiffs brought as an example that the minor girl’s paternal grandmother whose surname in her passport was indeed with an ""-a"" at the end. The plaintiffs claimed that the girl had always been known by the female surname, both locally and especially among the Russian community. They requested the court to grant the necessary changes to the minor’s birth certificate and all civil documents. The defendant Director of Public Registry said that he had no objection, granted that no blame was attributed to him. He explained that in the year 2000, the year the child was born, the birth registration system did not contemplate a section in which a surname was given to a newborn and it was automatically given the surname of the father. The court did not feel the need to appoint an expert on Russian tradition, and after taking cognizance of all evidence and the fact that the defendant did not object to the changes, it granted the plaintiffs’ request and ordered the defendant to carry out the necessary changes. Court expenses borne by the plaintiffs.",Maltese,
MT129,2019.12.12,446/2018 JVC,,,Qorti Civili Prim Awla,Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=119739,birth certificate; Maltese citizenship; amendment; name; Russian national; public registry,administrative law,"The plaintiff requested the court to grant changes to her birth certificate by changing her mother’s name. The plaintiff, a native of Russia, had registered her birth in Malta after successfully applying for Maltese citizenship through the Malta Individual Investor Programme. The application process required all original Russian civil documents and a translation into English of each applicant. According to the plaintiff, the translation of her birth certificate which had been handed to the defendant Director of Public Registry, had erroneously listed her mother’s surname. The plaintiff therefore provided to the court an updated translation of her Russian birth certificate and requested the court to order the necessary changes. The defendant did not object to the changes, saying he was not to be held responsible because registration had occurred based on the documents and the relevant translations provided by the plaintiff herself. The court charged an expert in the translation from Russian to English to carry out a translation of the plaintiff’s birth certificate who confirmed that the plaintiff’s mother’s surname as claimed by the plaintiffs. The court therefore acceded to the plaintiff’s request and ordered the defendant to carry out the necessary changes in her Maltese birth certificate and all civil documents. Court expenses borne by the plaintiff.",Maltese,
MT130,2020.03.02,245/2020/1 LM,,,Qorti Civili Prim Awla,Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=120820,division of assets; property; community of acquests; Russian national; Russian law; prohibitory injunction,family law,"The plaintiff requested the court to grant her an injunction against the defendant, prohibiting him from selling or transferring the title of the apartment she lived in together with her daughter. The parties had been married sixteen years and had a daughter. The couple, both Russian nationals, had resided in their family home of Moscow, but during the marriage the defendant had bought an apartment in, Malta. The plaintiff claimed that he had done so behind her back while not informing the notary that he was married and thus the title of the property was entirely in his name. The apartment had only been used by the family as a vacation home until the last years of the marriage when the family had moved to their Maltese apartment. After obtaining the divorce it had become the primary residence of the plaintiff and their daughter. Twenty years after obtaining the divorce, the parties were involved in a number of ongoing proceedings both in Malta and Russia. Some involved the payment of past unpaid maintenance fees, while others involved the selling of the Moscow apartment the couple shared and which was sold off by the defendant without prior approval from her ex-husband. Fearing a similar situation, the plaintiff requested the court to grant an injunction against the defendant in order to stop him from selling the Malta apartment. The plaintiff said that the Family Law Code of the Russian Federation was identical to the Maltese equivalent and stated that anything bought during marriage belonged to the couple in each measure. The injunction therefore served to prohibit the defendant from selling the plaintiff’s sole residence from behind her back, something he could in theory do because the housing registry listed him as sole owner of the residence with no mention of the plaintiff. If sold to third parties before the end of the proceedings the plaintiff might risk having no claim to the said property. The defendant argued that he was sole owner of the apartment because he had bought it with funds donated to him by his mother. He said that the plaintiff at the time had been fully aware of this fact and had not accompanied him to buy the property, neither did she hand him a power of attorney, and only many years later did she lay claim to the property. Not even after the divorce did the plaintiff request the court to grant her half-ownership of the apartment and the defendant produced the legal opinion of a Russian-based law firm which said that in Russian Law there existed a prescriptive three-year term which commenced on the obtainment of a divorce decree, during which period the division of matrimonial assets had to occur. However, the plaintiff had only raised the issue of the apartment many years later and he produced the witness account of his own brother who confirmed that their mother had provided the defendant with the funds required for acquiring the house. The court listed a number of preconditions required prior to granting an injunction. It made it clear that the granting or refusal of an injunction did not signify that a claim had been proven or disproven. It was not this Court’s duty to delve into the merits, but an injunction was simply a preventive action which was issued before the merit had been determined. It is issued if at first glance the claim is considered credible, believable or plausible. The court noted how Russian’s Separation of Assets was very similar to local law on the matter and stipulated that everything acquired during marriage belonged to both parties in equal measure. This meant that the plaintiff’s claim to the property might be valid and so was the risk that the defendant might sell the property before the courts decided on the matter. The damage the plaintiff would suffer would be irreparable, an issue rendered even more important by the fact that it was her sole residence. The court therefore decided that prima facie the plaintiff’s fears were well founded. The court therefore acceded to the plaintiff’s request and granted the injunction in her favour, with court expenses borne by the defendant.",Maltese,
